Жалкий вид	['sliːzɪ ə'pɪər(ə)ns]	Sleazy appearance
Толстые / тонкиеброви	[θɪk /  θɪn 'aɪbrauz]	Thick / thin eyebrows
Косматые	['ʃægɪ]	Shaggy 
Густые	['buʃɪ]	Bushy
Хмурить брови	[nɪt / fraun / 'fʌrəu<one's> 'aɪbrauz]	To knit / frown / furrow one's eyebrows
Заплаканные	['tɪəsteɪnd]	Tear-stained
«Гусиные лапки»	[krəuzfi:t]	Crow's feet  
Поднимать брови	[reɪz<one's> 'aɪbrauz]	To raise one's eyebrows
Изогнутые брови	[ɑːʧt ’aɪbraʊz]	Arched eyebrows 
Грозносдвинув брови	[wɪð 'θʌnd(ə)rəs 'aɪbrauz]	With thunderous eyebrows
Редкие брови	[skænt / θɪn 'aɪbrauz]	Scant / thin eyebrows
Выщипанные брови	[plʌkt 'aɪbrauz]	Plucked eyebrows
Нарисованные	['pen(t)s(ə)ld in]	Pencilled - in
Губы	[lɪps]	Lips
Полуоткрытые	['pɑːtɪd]	Parted 
Полные / тонкиегубы	[ful] / [θɪnlɪps]	Full / thin lips
Верхняя / нижняягуба	 ['ʌpə] / ['ləuəlɪp]	Upper / lower lip
Кусатьг убы	[baɪt<one's>lɪps]	To bite one's lips
Поджать губы	[pɜːs<one's>lɪps]	To purse  one's lips
Презрительно кривить губы	[kɜːl<one's>lɪps]	To curl one's lips
Нос	[nəuz]	Nose
Вздёрнутый	[‘ʌptə:nd]	Upturned
Мясистый	['fleʃɪ]	Fleshy 
Изогнутый, кривой	['krukɪd]	Crooked
Крючковатый	[hukt]	Hooked
Кривой	['kɜːvd]	Curved 
Приплюснутый нос	[pʌgnəuz]	Pug nose  
Нос картошкой	[‘bʌlbəsnəuz]	Bulbous nose  
Курносый нос	[snʌbnəuz]	Snub nose  
Подбородок	[ʧɪn]	Chin
Двойной	[‘dʌbl]	Double 
Острый	[’pɔɪntɪd]	Pointed
Массивный	['mæsɪv]	Massive 
Круглый	[raʊnd]	Round 
Выдающийся	[prə'truːdɪŋ]	Protruding 
Зубы	[tiːθ]	Teeth
Белоснежные зубы	[‘snəʊ’waɪtti:θ]	Snow-white teeth
Крупные	[lɑːʤ] 	Large 
Ряд зубов	[set ovtiːθ]	Set of teeth
Мелкие	[smɔːl  / 'taɪnɪ]	Small / tiny
Редкие	['waɪdlɪspeıst]	Widely-spaced
Ровные / неровные	[ʌn'iːv(ə)n  / ʌn'iːv(ə)n]	Even / uneven 
Частые	[kləus set]	Close-set
Вставные зубы	[fɔ:lsti:θ]	False teeth  
Квадратная челюсть	[skweəʤɔː]	Square jaw
Крепкая челюсть	[strɔŋʤɔː]	Strong jaw
