Голодный	['hʌŋgrɪ]	Hungry
Проницательный	[ʃruːd]	Shrewd
Умный	[smɑːt]	Smart
Великолепный	['splendɪd]	Splendid
Уравновешенный	['stedɪ]	Steady
Волевой	[stroŋ- wild]	Strong-willed
Душа компании	[ðəlaɪfændsəulɔvði 'pɑːtɪ]	The life and soul of the party
Заслуживающий доверия; надежный	['trʌstˌwɜːðɪ]	Trustworthy
Понимающий, отзывчивый	[ˌʌndə'stændɪŋ]	Understanding
Бескорыстный, неэгоистичный	[ʌn'selfɪʃ]	Unselfish
Тщеславный	[veɪn /kən'siːtɪd]	Vain / conceited
Остроумный	[ˈwɪtɪ]	Witty
Плохой	[bæd]	Bad
Холодный	[kəuld]	Cold
Глупый	['sɪlɪ]	Silly
Уродливый	['ʌglɪ]	Ugly
Злой	[ˈæŋɡrɪ]	Angry
Ленивый	[leɪzɪ]	Lazy
Жестокий	[ˈkruːəl]	Cruel
Жадный	[ˈɡriːdɪ]	Greedy
Равнодушный	[ɪnˈdɪfrənt]	Indifferent
Нервный	['nɜːvəs]	Nervous
Обеспокоенный	['wʌrɪd]	Worried
Эгоистичный	['selfɪʃ]	Selfish
Упрямый	[ˈstʌbən]	Stubborn
Глупый, тупой; скучный	[ˈstjuːpɪd /dʌl]	Stupid / dull
Ужасный	['terəbl]	Terrible
Расстроенный	[ʌp'set]	Upset
Обидчивый	[ˈtʌtſɪ]	Touchy
Агрессивный, пробивной, настойчивый	[ə'gresɪv]	Aggressive
Бдительный, осторожный	[ə'lɜːt]	Alert
Заносчивый, высокомерный	[ˈærəɡənt]	Arrogant
Хвастливый	['bəustf(ə)l]	Boastful
Ненадежный	[ˌʌnrɪ'laɪəbl]	Unreliable
Наводящий скуку	['bɔːrɪŋ /dʌl]	Boring / dull
Небрежный, невнимательный	['keələs]	Careless
Циничный	[ˈsɪnɪkəl]	Cynical
Зависимый (от)	[dɪ'pendənt]	Dependent (on)
Отвратительный	[dɪs'gʌstɪŋ]	Disgusting
Завистливый	['envɪəs]	Envious
Глупый; взбалмошный	['fuːlɪʃ]	Foolish
Взбешенный, яростный 	[ˈfjuəriəs]	Furious
Ворчливый	[ˈɡrʌmbəlɪŋ]	Grumbling
Нечестный	[dɪs'ɔnɪst]	Dishonest
